modality,label,n_voxels,n_sensors,n_outputs,n_sources,n_singular_values,bandwidth_hz,output_amplitude,output_noise,output_snr,noise_model_type,noise_correlation_length_mm,noise_correlation_kernel,total_input_power,bitrate_bits_per_s,channel_capacity_bits_per_s,frequency_hz,source_spacing_mm,grid_resolution_mm,spectrum_estimate_method,spectrum_reference_num_sensors,spectrum_reference_path,spectrum_reference_hash,spectrum_reference_singular_value_count,spectrum_scale_factor,path
meg_squid,MEG SQUID,50,50,150,150,150,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.790603819764543e-15,4919.496757015156,7791.074279815666,,30.0,,,,,,,,results/variants/meg_squid/09435bb5.npz
meg_squid,MEG SQUID,50,50,150,150,150,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.7906038197645416e-15,4919.496757015242,7791.074279815768,,30,,,,,,,,results/variants/meg_squid/9ef79695.npz
meg_squid,MEG SQUID,153,50,150,459,150,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.922166450472244e-15,5223.21913792641,11040.488094662873,,20.0,,,,,,,,results/variants/meg_squid/5ecc8fbc.npz
meg_squid,MEG SQUID,153,50,150,459,150,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.922166450472245e-15,5223.219137926324,11040.488094662809,,20.0,,,,,,,,results/variants/meg_squid/fe82a01e.npz
meg_squid,MEG SQUID,360,50,150,1080,150,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.7362469914111932e-15,5421.795073830277,14385.689968002353,,15.0,,,,,,,,results/variants/meg_squid/6aefeca7.npz
meg_squid,MEG SQUID,360,50,150,1080,150,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.7362469914111934e-15,5421.795073830352,14385.689968002373,,15,,,,,,,,results/variants/meg_squid/777b27c0.npz
meg_squid,MEG SQUID,1153,50,150,3459,150,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.7482228738917572e-15,5393.515039553353,19254.601509072887,,10.0,,,,,,,,results/variants/meg_squid/c570cf9e.npz
meg_squid,MEG SQUID,1153,50,150,3459,150,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.748222873891757e-15,5393.515039553437,19254.601509072887,,10.0,,,,,,,,results/variants/meg_squid/f7c3ebaa.npz
meg_squid,MEG SQUID,8937,50,150,26811,150,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.6795583017440051e-15,5429.358652218318,30925.609966673317,,5.0,,,,,,,,results/variants/meg_squid/00eb0f8b.npz
meg_squid,MEG SQUID,8937,50,150,26811,150,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.6795583017440034e-15,5429.35865221824,30925.60996667348,,5.0,,,,,,,,results/variants/meg_squid/ae620f39.npz
meg_squid,MEG SQUID,50,100,300,150,150,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.7912017271254714e-15,6370.72079640805,9406.566306033057,,30,,,,,,,,results/variants/meg_squid/61e86380.npz
meg_squid,MEG SQUID,50,100,300,150,150,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.791201727125471e-15,6370.720507778914,9406.565994838204,,30.0,,,,,,,,results/variants/meg_squid/ebfa929d.npz
meg_squid,MEG SQUID,153,100,300,459,300,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.9224343266222033e-15,6901.297693778109,13350.875273192747,,20.0,,,,,,,,results/variants/meg_squid/944491cb.npz
meg_squid,MEG SQUID,153,100,300,459,300,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.9224343266222033e-15,6901.297394420519,13350.874939661138,,20.0,,,,,,,,results/variants/meg_squid/f9f4240d.npz
