modality,label,n_voxels,n_sensors,n_outputs,n_sources,n_singular_values,bandwidth_hz,output_amplitude,output_noise,output_snr,noise_model_type,noise_correlation_length_mm,noise_correlation_kernel,total_input_power,bitrate_bits_per_s,channel_capacity_bits_per_s,frequency_hz,source_spacing_mm,grid_resolution_mm,spectrum_estimate_method,spectrum_reference_num_sensors,spectrum_reference_path,spectrum_reference_hash,spectrum_reference_singular_value_count,spectrum_scale_factor,path
eeg_openmeeg,EEG OpenMEEG,18,32,32,54,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,5.0,gaussian,0.06301309020199022,14463.581143567551,15652.643636050861,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/7f6cc074.npz
eeg_openmeeg,EEG OpenMEEG,43,32,32,129,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,5.0,gaussian,0.06009539562580832,15841.68860730806,19051.91190742739,,30.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/a0234155.npz
eeg_openmeeg,EEG OpenMEEG,148,32,32,444,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,5.0,gaussian,0.05549417387720338,16590.73543887407,22656.914416537467,,20.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/fd9cdffc.npz
eeg_openmeeg,EEG OpenMEEG,302,32,32,906,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,5.0,gaussian,0.058357365178420294,16155.082744638696,23865.54280651629,,15.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/949186b4.npz
eeg_openmeeg,EEG OpenMEEG,984,32,32,2952,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,5.0,gaussian,0.05719782619735742,16251.661272869751,26689.30461217327,,10.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/dcf5f33c.npz
eeg_openmeeg,EEG OpenMEEG,1842,32,32,5526,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,5.0,gaussian,0.0573585794639805,16157.58966649027,28042.077654188466,,8.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/cd9e5549.npz
eeg_openmeeg,EEG OpenMEEG,4347,32,32,13041,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,5.0,gaussian,0.05649982459687066,16226.459706884461,30093.242261843654,,6.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/20128028.npz
eeg_openmeeg,EEG OpenMEEG,7347,32,32,22041,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,5.0,gaussian,0.05694782889466673,16162.718155871351,31240.615365261147,,5.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/e1b27c0e.npz
eeg_openmeeg,EEG OpenMEEG,14355,32,32,43065,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,5.0,gaussian,0.056438048103601327,16209.484835592992,32833.738046565726,,4.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/aa1f29c4.npz
eeg_openmeeg,EEG OpenMEEG,18,64,64,54,54,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,5.0,gaussian,0.0632311199235087,17300.133371695778,17789.041495396035,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/2ae16efa.npz
eeg_openmeeg,EEG OpenMEEG,43,64,64,129,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,5.0,gaussian,0.06008255590281158,22084.41660861435,25160.912406402982,,30.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/8ed745ef.npz
eeg_openmeeg,EEG OpenMEEG,148,64,64,444,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,5.0,gaussian,0.05548621854871387,24936.058821660536,33744.4352288671,,20.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/8fcea973.npz
eeg_openmeeg,EEG OpenMEEG,302,64,64,906,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,5.0,gaussian,0.05840816488506639,23780.910304827972,35810.504826969955,,15.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/8c905dfd.npz
eeg_openmeeg,EEG OpenMEEG,984,64,64,2952,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,5.0,gaussian,0.05735379348170216,24121.93494475642,41633.41203633877,,10.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/705c75e2.npz
eeg_openmeeg,EEG OpenMEEG,1842,64,64,5526,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,5.0,gaussian,0.057342781002270145,23804.132691860723,44187.64101959692,,8.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/77b3f395.npz
eeg_openmeeg,EEG OpenMEEG,4347,64,64,13041,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,5.0,gaussian,0.05662017862483818,24017.25841648021,48378.82987331557,,6.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/c2d8e101.npz
eeg_openmeeg,EEG OpenMEEG,7347,64,64,22041,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,5.0,gaussian,0.056940036339291095,23818.984885935275,50590.02433120433,,5.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/61d037e0.npz
eeg_openmeeg,EEG OpenMEEG,14355,64,64,43065,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,5.0,gaussian,0.05654651464534979,23965.05501125249,53838.11714155231,,4.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/fde79e7d.npz
eeg_openmeeg,EEG OpenMEEG,18,128,128,54,54,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,5.0,gaussian,0.0630908126659385,18627.94891714659,18995.63471384687,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/cd81ea77.npz
eeg_openmeeg,EEG OpenMEEG,43,128,128,129,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,5.0,gaussian,0.06014973174960828,24976.40203378392,27628.7362021632,,30.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/62619732.npz
eeg_openmeeg,EEG OpenMEEG,148,128,128,444,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,5.0,gaussian,0.05548647506909255,29981.458156198205,39638.15803440046,,20.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/6ad5ce4f.npz
eeg_openmeeg,EEG OpenMEEG,302,128,128,906,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,5.0,gaussian,0.058378999372344406,28240.525027435906,42561.33859195561,,15.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/7cac8504.npz
