modality,label,n_voxels,n_sensors,n_outputs,n_sources,n_singular_values,bandwidth_hz,output_amplitude,output_noise,output_snr,noise_model_type,noise_correlation_length_mm,noise_correlation_kernel,total_input_power,bitrate_bits_per_s,channel_capacity_bits_per_s,frequency_hz,source_spacing_mm,grid_resolution_mm,spectrum_estimate_method,spectrum_reference_num_sensors,spectrum_reference_path,spectrum_reference_hash,spectrum_reference_singular_value_count,spectrum_scale_factor,path
eeg_openmeeg,EEG OpenMEEG,18,32,32,54,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,18.688,exponential,0.06307347167263198,14503.88096435653,15695.836838448036,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/f6d6c5a8.npz
eeg_openmeeg,EEG OpenMEEG,43,32,32,129,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,18.688,exponential,0.060067110596806694,15890.390981794088,19101.999752340398,,30.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/9f0f9c7c.npz
eeg_openmeeg,EEG OpenMEEG,148,32,32,444,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,18.688,exponential,0.05549083097055683,16641.711183629974,22708.738788512026,,20.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/93227da9.npz
eeg_openmeeg,EEG OpenMEEG,302,32,32,906,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,18.688,exponential,0.05863236477317994,16201.791098864305,23913.47800334181,,15.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/c3167cb1.npz
eeg_openmeeg,EEG OpenMEEG,984,32,32,2952,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,18.688,exponential,0.05728646155045052,16303.334736362654,26742.095829320602,,10.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/d0ac155c.npz
eeg_openmeeg,EEG OpenMEEG,1842,32,32,5526,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,18.688,exponential,0.057756156871979776,16210.902874113106,28096.590007675517,,8.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/c025f2e0.npz
eeg_openmeeg,EEG OpenMEEG,4347,32,32,13041,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,18.688,exponential,0.056740305967682786,16276.277878093328,30144.1905545716,,6.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/294dcd74.npz
eeg_openmeeg,EEG OpenMEEG,7347,32,32,22041,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,18.688,exponential,0.05697435701420762,16212.960418032077,31292.041755202983,,5.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/dc99cc64.npz
eeg_openmeeg,EEG OpenMEEG,14355,32,32,43065,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,18.688,exponential,0.05655895918644293,16260.110351546902,32885.505504088076,,4.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/0f1cc926.npz
eeg_openmeeg,EEG OpenMEEG,18,64,64,54,54,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,18.688,exponential,0.06321583408106957,17103.451748492407,17543.901648581654,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/f5921ecb.npz
eeg_openmeeg,EEG OpenMEEG,43,64,64,129,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,18.688,exponential,0.060094613190856815,22274.457492554375,25363.56220406881,,30.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/e72524a9.npz
eeg_openmeeg,EEG OpenMEEG,148,64,64,444,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,18.688,exponential,0.05548601342696855,25263.248583143602,34115.34899071169,,20.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/cb03a4de.npz
eeg_openmeeg,EEG OpenMEEG,302,64,64,906,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,18.688,exponential,0.05882972351486755,24087.626671448394,36183.66109287917,,15.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/bead4b0b.npz
eeg_openmeeg,EEG OpenMEEG,984,64,64,2952,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,18.688,exponential,0.05733839537645963,24442.247108079104,42011.729576686754,,10.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/cc77ad07.npz
eeg_openmeeg,EEG OpenMEEG,1842,64,64,5526,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,18.688,exponential,0.057630550427066704,24126.17047582746,44575.47840029405,,8.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/d0083a8b.npz
eeg_openmeeg,EEG OpenMEEG,4347,64,64,13041,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,18.688,exponential,0.056858084208717526,24336.68883959374,48759.33351532211,,6.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/e6f883c2.npz
eeg_openmeeg,EEG OpenMEEG,7347,64,64,22041,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,18.688,exponential,0.05705600276219767,24136.86680586926,50973.20871441493,,5.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/e7868695.npz
eeg_openmeeg,EEG OpenMEEG,14355,64,64,43065,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,18.688,exponential,0.05662285602953491,24282.983549422468,54218.13018224434,,4.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/e08441ae.npz
eeg_openmeeg,EEG OpenMEEG,18,128,128,54,54,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,18.688,exponential,0.06301140551806157,17389.860442295547,17719.277594221894,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/a3ee738c.npz
eeg_openmeeg,EEG OpenMEEG,43,128,128,129,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,18.688,exponential,0.06003699016661223,24323.948578958625,26891.40660453311,,30.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/bb96b402.npz
eeg_openmeeg,EEG OpenMEEG,148,128,128,444,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,18.688,exponential,0.05548327499316795,30110.759242520886,40005.192619456044,,20.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/32f65582.npz
eeg_openmeeg,EEG OpenMEEG,302,128,128,906,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,18.688,exponential,0.0586615665452075,28248.113724397102,43072.43834086911,,15.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/d374aad9.npz
eeg_openmeeg,EEG OpenMEEG,984,128,128,2952,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,18.688,exponential,0.05715419109523212,28854.605608821304,53087.52201313215,,10.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/004b3979.npz
eeg_openmeeg,EEG OpenMEEG,1842,128,128,5526,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,18.688,exponential,0.057580906157857874,28332.41186482344,57554.86645374957,,8.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/da2d2783.npz
eeg_openmeeg,EEG OpenMEEG,4347,128,128,13041,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,18.688,exponential,0.05677985585661115,28681.50127340899,65448.0674126997,,6.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/f7e5c92a.npz
eeg_openmeeg,EEG OpenMEEG,7347,128,128,22041,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,18.688,exponential,0.0570331311882318,28309.599035571227,69473.46578959121,,5.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/266dc874.npz
eeg_openmeeg,EEG OpenMEEG,14355,128,128,43065,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,18.688,exponential,0.05660966611943146,28578.1813412057,75878.8559119705,,4.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/4a859030.npz
eeg_openmeeg,EEG OpenMEEG,18,256,256,54,54,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,18.688,exponential,0.06301332698671618,16983.679378879013,17301.169010138663,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/fd0ee721.npz
eeg_openmeeg,EEG OpenMEEG,43,256,256,129,129,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,18.688,exponential,0.06002512023887129,24337.520258050572,26805.45485759256,,30.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/c7d22dea.npz
eeg_openmeeg,EEG OpenMEEG,148,256,256,444,256,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,18.688,exponential,0.0554606515367022,31093.247552233715,41017.85444670593,,20.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/4fa7e826.npz
eeg_openmeeg,EEG OpenMEEG,302,256,256,906,256,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,18.688,exponential,0.05883329207765342,29129.013088518735,44525.26312554495,,15.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/d98ea32e.npz
eeg_openmeeg,EEG OpenMEEG,984,256,256,2952,256,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,18.688,exponential,0.0572391825029932,29789.675718279956,55969.67487428346,,10.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/31c0877a.npz
eeg_openmeeg,EEG OpenMEEG,1842,256,256,5526,256,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,18.688,exponential,0.057659072932069885,29232.673280668656,61244.597100783765,,8.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/2cab0d2f.npz
eeg_openmeeg,EEG OpenMEEG,4347,256,256,13041,256,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,18.688,exponential,0.056880597280834534,29606.70493676401,70617.18805288101,,6.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/281fa22c.npz
eeg_openmeeg,EEG OpenMEEG,7347,256,256,22041,256,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,18.688,exponential,0.05704079683441926,29152.232703024805,75328.43432135842,,5.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/6db29261.npz
eeg_openmeeg,EEG OpenMEEG,14355,256,256,43065,256,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,18.688,exponential,0.05660202154558405,29469.288927863236,83092.67213746718,,4.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/c3b2b3bc.npz
eeg_openmeeg,EEG OpenMEEG,18,512,512,54,54,100.0,5e-06,1.1002591400300422e-07,45.44383971092008,spatial_covariance,18.688,exponential,0.06303738236866407,16326.764617209054,16648.58569595576,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/6ca338db.npz
eeg_openmeeg,EEG OpenMEEG,43,512,512,129,129,100.0,5e-06,1.1002591400300422e-07,45.44383971092008,spatial_covariance,18.688,exponential,0.06003178068839921,23650.8271389939,26085.805155670114,,30.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/04383bdf.npz
eeg_openmeeg,EEG OpenMEEG,148,512,512,444,444,100.0,5e-06,1.1002591400300422e-07,45.44383971092008,spatial_covariance,18.688,exponential,0.05546191134186842,30568.910724506793,40516.01402930512,,20.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/964ce668.npz
eeg_openmeeg,EEG OpenMEEG,302,512,512,906,512,100.0,5e-06,1.1002591400300422e-07,45.44383971092008,spatial_covariance,18.688,exponential,0.05867307708366198,28622.088935414144,44193.86370812176,,15.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/e7c4a09f.npz
eeg_openmeeg,EEG OpenMEEG,984,512,512,2952,512,100.0,5e-06,1.1002591400300422e-07,45.44383971092008,spatial_covariance,18.688,exponential,0.057425595582956984,29282.039098700356,56026.83576036636,,10.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/500216aa.npz
eeg_openmeeg,EEG OpenMEEG,1842,512,512,5526,512,100.0,5e-06,1.1002591400300422e-07,45.44383971092008,spatial_covariance,18.688,exponential,0.05769750312047226,28698.12733225272,61460.27981953375,,8.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/761f71e3.npz
eeg_openmeeg,EEG OpenMEEG,4347,512,512,13041,512,100.0,5e-06,1.1002591400300422e-07,45.44383971092008,spatial_covariance,18.688,exponential,0.05676848875097466,29052.158048534086,71052.4594879609,,6.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/f7f32ca7.npz
eeg_openmeeg,EEG OpenMEEG,7347,512,512,22041,512,100.0,5e-06,1.1002591400300422e-07,45.44383971092008,spatial_covariance,18.688,exponential,0.057018338462197,28587.277360062857,75878.37893101411,,5.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/110e6337.npz
eeg_openmeeg,EEG OpenMEEG,14355,512,512,43065,512,100.0,5e-06,1.1002591400300422e-07,45.44383971092008,spatial_covariance,18.688,exponential,0.05655341845701686,28908.942249365606,83788.81737001441,,4.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_exponential_L18p688mm_20260601_margin5mm/a22024d4.npz
