modality,label,n_voxels,n_sensors,n_outputs,n_sources,n_singular_values,bandwidth_hz,output_amplitude,output_noise,output_snr,noise_model_type,noise_covariance_model,noise_correlation_length_mm,noise_correlation_kernel,johnson_electrode_area_cm2,johnson_lmax,johnson_bandwidth_hz,johnson_noise_diagonal,total_input_power,bitrate_bits_per_s,channel_capacity_bits_per_s,frequency_hz,source_spacing_mm,grid_resolution_mm,spectrum_estimate_method,spectrum_reference_num_sensors,spectrum_reference_path,spectrum_reference_hash,spectrum_reference_singular_value_count,spectrum_scale_factor,path
eeg_openmeeg,EEG OpenMEEG,18,32,32,54,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.06417125937205737,14533.410984201635,15725.612133660345,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/2a999b99.npz
eeg_openmeeg,EEG OpenMEEG,43,32,32,129,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.06045828335120824,15909.119088393289,19120.762887070014,,30.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/996ced1e.npz
eeg_openmeeg,EEG OpenMEEG,148,32,32,444,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.056010691095912564,16666.434562229824,22733.524372493885,,20.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/8f5c5afa.npz
eeg_openmeeg,EEG OpenMEEG,302,32,32,906,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.058702140495503506,16224.155141322683,23935.920761626807,,15.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/6846a40c.npz
eeg_openmeeg,EEG OpenMEEG,984,32,32,2952,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.057245039232670374,16321.294836939818,26760.1095335532,,10.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/924702be.npz
eeg_openmeeg,EEG OpenMEEG,1842,32,32,5526,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05748789549825421,16226.005222456013,28111.744624912415,,8.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/d167caa9.npz
eeg_openmeeg,EEG OpenMEEG,4347,32,32,13041,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05676535192561609,16296.91069493797,30164.894462981727,,6.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/f9e43d91.npz
eeg_openmeeg,EEG OpenMEEG,7347,32,32,22041,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.056830766650435835,16232.563965822294,31311.71674714538,,5.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/a537721e.npz
eeg_openmeeg,EEG OpenMEEG,14355,32,32,43065,32,100.0,5e-06,5.501295700150211e-08,90.88767942184016,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05644166499501306,16278.948790912282,32904.40991040264,,4.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/78d0c639.npz
eeg_openmeeg,EEG OpenMEEG,18,64,64,54,54,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.06375814489112332,17168.440111963348,17612.89957464612,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/05748c35.npz
