num_sensors,num_brain_grid_points,n_outputs,n_sources,n_singular_values,time_resolution_seconds,first_singular_value,rank_gt_1pct,noise_std,source_power_normalization,source_amplitude_scale,input_power_convention,total_input_power,bitrate_bits_per_s,channel_capacity_bits_per_s,modal_gram_output_path,modal_gram_size_bytes,source_npz
1000,4237,61000,4237,4237,2e-06,0.027028508484363556,4237,2.0822071286531413e-09,none,1.0,average_output_power,1563.6438337590987,40314763705.209114,40314763705.209114,/modal_results/us_analytical_grams/001_50khz_4000src_1000sensors_gram.npy,71808804,results/variants/us_free_field_analytical_50khz_convergence_20260531/001_50khz_4000src_1000sensors__552d9bf0.npz
1000,8385,61000,8385,8385,2e-06,0.01927036978304386,7429,2.0822071286531413e-09,none,1.0,average_output_power,6096.4968520155635,75244847554.47534,75244847554.47533,/modal_results/us_analytical_grams/004_50khz_8000src_1000sensors_gram.npy,281233028,results/variants/us_free_field_analytical_50khz_convergence_20260531/004_50khz_8000src_1000sensors__22948937.npz
1000,16601,61000,16601,16601,2e-06,0.013742736540734768,9223,2.0822071286531413e-09,none,1.0,average_output_power,23838.19271037125,137086588784.7849,137086588784.7849,/modal_results/us_analytical_grams/007_50khz_16000src_1000sensors_gram.npy,1102372932,results/variants/us_free_field_analytical_50khz_convergence_20260531/007_50khz_16000src_1000sensors__8d6fc7ca.npz
1000,32940,61000,32940,32940,2e-06,0.009783975780010223,10299,2.0822071286531413e-09,none,1.0,average_output_power,93718.94699348723,231846322532.64935,232034159143.47873,/modal_results/us_analytical_grams/010_50khz_32000src_1000sensors_gram.npy,4340174528,results/variants/us_free_field_analytical_50khz_convergence_20260531/010_50khz_32000src_1000sensors__4709539d.npz
1000,45177,61000,45177,45177,2e-06,0.008361561223864555,10616,2.0822071286531413e-09,none,1.0,average_output_power,175955.8289312897,278946322546.3278,280185294830.6034,,,results/variants/us_free_field_analytical_50khz_convergence_20260531/001_50khz_44000src_1000sensors__ceb50769.npz
3000,4237,183000,4237,4237,2e-06,0.04680921882390976,4237,2.0822071286531417e-09,none,1.0,average_output_power,1563.3408809180864,42257690759.28306,42257690759.28306,/modal_results/us_analytical_grams/002_50khz_4000src_3000sensors_gram.npy,71808804,results/variants/us_free_field_analytical_50khz_convergence_20260531/002_50khz_4000src_3000sensors__1e81505a.npz
3000,8385,183000,8385,8385,2e-06,0.03334825858473778,8385,2.0822071286531417e-09,none,1.0,average_output_power,6096.499049849054,79883030421.63455,79883030421.63455,/modal_results/us_analytical_grams/005_50khz_8000src_3000sensors_gram.npy,281233028,results/variants/us_free_field_analytical_50khz_convergence_20260531/005_50khz_8000src_3000sensors__bb38ef3d.npz
3000,16601,183000,16601,16601,2e-06,0.023790927603840828,14150,2.0822071286531417e-09,none,1.0,average_output_power,23833.17528470931,150967983889.34137,150967983889.34137,/modal_results/us_analytical_grams/008_50khz_16000src_3000sensors_gram.npy,1102372932,results/variants/us_free_field_analytical_50khz_convergence_20260531/008_50khz_16000src_3000sensors__a3e43818.npz
3000,32940,183000,32940,32940,2e-06,0.01694115810096264,17530,2.0822071286531417e-09,none,1.0,average_output_power,93700.84962113705,282769269795.6613,282769269795.6613,/modal_results/us_analytical_grams/011_50khz_32000src_3000sensors_gram.npy,4340174528,results/variants/us_free_field_analytical_50khz_convergence_20260531/011_50khz_32000src_3000sensors__cf22b897.npz
3000,45177,183000,45177,45177,2e-06,0.01447735819965601,18780,2.0822071286531417e-09,none,1.0,average_output_power,175951.0869253929,373348218073.42084,373348578743.1888,,,results/variants/us_free_field_analytical_50khz_convergence_20260531/001_50khz_44000src_3000sensors__a97af02f.npz
6000,4237,366000,4237,4237,2e-06,0.06619559228420258,4237,2.0822071286531417e-09,none,1.0,average_output_power,1563.3989746528773,43379442917.58973,43379442917.58973,/modal_results/us_analytical_grams/003_50khz_4000src_6000sensors_gram.npy,71808804,results/variants/us_free_field_analytical_50khz_convergence_20260531/003_50khz_4000src_6000sensors__a150eb30.npz
6000,8385,366000,8385,8385,2e-06,0.047162141650915146,8385,2.0822071286531417e-09,none,1.0,average_output_power,6096.504757310032,82257549553.90866,82257549553.90868,/modal_results/us_analytical_grams/006_50khz_8000src_6000sensors_gram.npy,281233028,results/variants/us_free_field_analytical_50khz_convergence_20260531/006_50khz_8000src_6000sensors__e89e3b06.npz
6000,16601,366000,16601,16601,2e-06,0.033641569316387177,16421,2.0822071286531417e-09,none,1.0,average_output_power,23834.393683015987,156398225775.45288,156398225775.45288,/modal_results/us_analytical_grams/009_50khz_16000src_6000sensors_gram.npy,1102372932,results/variants/us_free_field_analytical_50khz_convergence_20260531/009_50khz_16000src_6000sensors__bc69dbd9.npz
6000,32940,366000,32940,32940,2e-06,0.02395801804959774,21963,2.0822071286531417e-09,none,1.0,average_output_power,93704.46302257117,297378631350.04736,297378631350.04736,/modal_results/us_analytical_grams/012_50khz_32000src_6000sensors_gram.npy,4340174528,results/variants/us_free_field_analytical_50khz_convergence_20260531/012_50khz_32000src_6000sensors__e9dcf4ea.npz
6000,45177,366000,45177,45177,2e-06,0.020473172888159752,23582,2.0822071286531417e-09,none,1.0,average_output_power,175956.1328621038,398789172243.6439,398789172243.64386,,,results/variants/us_free_field_analytical_50khz_convergence_20260531/002_50khz_44000src_6000sensors__5e7ae3d4.npz
