method,num_sensors,num_brain_grid_points,n_outputs,n_sources,requested_sources,bitrate_bits_per_s,slq_s,slq_t,slq_batch,slq_frobenius_norm_sq,slq_logdet_alpha,total_input_power,noise_level,raw_noise_level,noise_multiplier,average_output_signal_amplitude,average_output_power,effective_time_resolution_seconds,time_step_seconds,input_power_convention,matrix_normalization,source
exact_svd,1000,4237,61000,4237,,40314763705.209114,,,,,,,,,,,,,,,,results/variants/us_free_field_analytical_50khz_convergence_20260531/001_50khz_4000src_1000sensors__552d9bf0.npz
exact_svd,1000,8385,61000,8385,,75244847554.47534,,,,,,,,,,,,,,,,results/variants/us_free_field_analytical_50khz_convergence_20260531/004_50khz_8000src_1000sensors__22948937.npz
exact_svd,1000,16601,61000,16601,,137086588784.7849,,,,,,,,,,,,,,,,results/variants/us_free_field_analytical_50khz_convergence_20260531/007_50khz_16000src_1000sensors__8d6fc7ca.npz
exact_svd,1000,32940,61000,32940,,231846322532.64935,,,,,,,,,,,,,,,,results/variants/us_free_field_analytical_50khz_convergence_20260531/010_50khz_32000src_1000sensors__4709539d.npz
exact_svd,1000,45177,61000,45177,,278946322546.3278,,,,,,,,,,,,,,,,results/variants/us_free_field_analytical_50khz_convergence_20260531/001_50khz_44000src_1000sensors__ceb50769.npz
exact_svd,3000,4237,183000,4237,,42257690759.28306,,,,,,,,,,,,,,,,results/variants/us_free_field_analytical_50khz_convergence_20260531/002_50khz_4000src_3000sensors__1e81505a.npz
exact_svd,3000,8385,183000,8385,,79883030421.63455,,,,,,,,,,,,,,,,results/variants/us_free_field_analytical_50khz_convergence_20260531/005_50khz_8000src_3000sensors__bb38ef3d.npz
exact_svd,3000,16601,183000,16601,,150967983889.34137,,,,,,,,,,,,,,,,results/variants/us_free_field_analytical_50khz_convergence_20260531/008_50khz_16000src_3000sensors__a3e43818.npz
exact_svd,3000,32940,183000,32940,,282769269795.6613,,,,,,,,,,,,,,,,results/variants/us_free_field_analytical_50khz_convergence_20260531/011_50khz_32000src_3000sensors__cf22b897.npz
exact_svd,3000,45177,183000,45177,,373348218073.42084,,,,,,,,,,,,,,,,results/variants/us_free_field_analytical_50khz_convergence_20260531/001_50khz_44000src_3000sensors__a97af02f.npz
exact_svd,6000,4237,366000,4237,,43379442917.58973,,,,,,,,,,,,,,,,results/variants/us_free_field_analytical_50khz_convergence_20260531/003_50khz_4000src_6000sensors__a150eb30.npz
exact_svd,6000,8385,366000,8385,,82257549553.90866,,,,,,,,,,,,,,,,results/variants/us_free_field_analytical_50khz_convergence_20260531/006_50khz_8000src_6000sensors__e89e3b06.npz
exact_svd,6000,16601,366000,16601,,156398225775.45288,,,,,,,,,,,,,,,,results/variants/us_free_field_analytical_50khz_convergence_20260531/009_50khz_16000src_6000sensors__bc69dbd9.npz
exact_svd,6000,32940,366000,32940,,297378631350.04736,,,,,,,,,,,,,,,,results/variants/us_free_field_analytical_50khz_convergence_20260531/012_50khz_32000src_6000sensors__e9dcf4ea.npz
exact_svd,6000,45177,366000,45177,,398789172243.6439,,,,,,,,,,,,,,,,results/variants/us_free_field_analytical_50khz_convergence_20260531/002_50khz_44000src_6000sensors__5e7ae3d4.npz
